ngram,score,totalwords
and,-0.7029122114181519,1
president,-0.4455687701702118,1
quit,-0.3855276107788086,1
meghan,-0.8303984999656677,1
s,-0.6553887724876404,1
mccain,-0.5779615640640259,1
t,-0.4424725770950317,1
term,-0.34681740403175354,1
it,-0.40941956639289856,1
the,-0.14465652406215668,1
on,-0.8490924239158629,1
https,-0.4868168830871582,1
to,0.2322134226560593,1
one,-0.3186308443546295,1
calls,-0.8282995820045471,1
trump,-0.4483373165130615,1
campaign,-0.2956690490245819,1
up,-0.5558388233184814,1
wrap,0.14456391334533691,1
view,-0.5969104766845703,1
co,-1.0017414093017578,1
c0v3qzw0qp,-0.9593152403831482,1
one term,-0.12491180002689363,2
wrap it,0.2852475941181183,2
view s,-0.7136882543563843,2
quit campaign,-0.1413760781288147,2
to wrap,0.841821551322937,2
t co,-0.8796072602272034,2
up and,-0.7040624618530273,2
term president,-0.24535156786441806,2
trump to,0.3159354329109192,2
s meghan,-0.9308886528015136,2
the view,-0.19469420611858368,2
president the,-0.049614425748586655,2
mccain calls,-0.8458883762359619,2
co c0v3qzw0qp,-1.378133773803711,2
it up,-0.4189455509185791,2
meghan mccain,-0.8644943237304688,2
campaign https,-0.222406804561615,2
calls on,-1.1071184873580933,2
and quit,-0.5602301955223083,2
on trump,-0.7528335452079773,2
https t,-0.3918566405773163,2
https t co,-0.8215632438659668,3
on trump to,-0.03494643419981003,3
the view s,-0.3303171992301941,3
calls on trump,-1.0254498720169067,3
up and quit,-0.5894586443901062,3
t co c0v3qzw0qp,-1.2604564428329468,3
it up and,-0.5732964277267456,3
term president the,0.12865275144577026,3
trump to wrap,0.8828597664833069,3
mccain calls on,-1.1244136095046997,3
quit campaign https,-0.07140263170003891,3
view s meghan,-0.9990528225898744,3
campaign https t,-0.1476748138666153,3
president the view,-0.11355184018611908,3
wrap it up,0.26564475893974304,3
meghan mccain calls,-1.1270698308944702,3
and quit campaign,-0.34892594814300537,3
one term president,-0.03922795504331589,3
s meghan mccain,-0.9800345897674559,3
to wrap it,0.9602670073509216,3
trump to wrap it,0.9930376410484314,4
on trump to wrap,0.5197870731353761,4
and quit campaign https,-0.2854297757148743,4
view s meghan mccain,-1.060618281364441,4
calls on trump to,-0.3672364056110382,4
up and quit campaign,-0.4042525589466095,4
term president the view,0.05233737826347351,4
campaign https t co,-0.5738753080368042,4
the view s meghan,-0.630316972732544,4
https t co c0v3qzw0qp,-1.2010642290115356,4
it up and quit,-0.4777522683143616,4
s meghan mccain calls,-1.240071415901184,4
quit campaign https t,-0.017509736120700836,4
mccain calls on trump,-1.0491501092910769,4
president the view s,-0.2634052932262421,4
one term president the,0.3114037811756134,4
meghan mccain calls on,-1.3998154401779177,4
to wrap it up,0.94047611951828,4
wrap it up and,0.1107901856303215,4
