ngrams,total_words
a,1
as,1
to,1
believe,1
better,1
things,1
co,1
gchv9tid7u,1
god,1
they,1
he,1
https,1
insane,1
isn,1
there,1
it,1
that,1
just,1
term,1
known,1
lamp,1
like,1
means,1
t,1
obsessed,1
scientist,1
people,1
post,1
says,1
s,1
usually,1
arguing,1
say,1
amused,1
watching,1
aren,1
with,1
against,1
argue,1
you,1
are,1
who,1
whatever,1
known as,2
against a,2
term means,2
just amused,2
with a,2
against things,2
it s,2
that term,2
lamp post,2
t there,2
watching a,2
isn t,2
t co,2
means to,2
a scientist,2
obsessed with,2
scientist obsessed,2
you he,2
a lamp,2
people who,2
says isn,2
post you,2
you say,2
a god,2
s like,2
with arguing,2
like arguing,2
they believe,2
god whatever,2
things they,2
aren t,2
to you,2
better known,2
as insane,2
there are,2
whatever that,2
co gchv9tid7u,2
are usually,2
argue against,2
say isn,2
believe aren,2
he says,2
insane it,2
arguing against,2
amused watching,2
there https,2
https t,2
arguing with,2
who argue,2
there people,2
usually better,2
to you he,3
says isn t,3
usually better known,3
you he says,3
watching a scientist,3
say isn t,3
there are usually,3
they believe aren,3
scientist obsessed with,3
with arguing against,3
t co gchv9tid7u,3
t there are,3
whatever that term,3
t there https,3
t there people,3
with a lamp,3
there people who,3
term means to,3
there https t,3
who argue against,3
things they believe,3
that term means,3
means to you,3
s like arguing,3
isn t there,3
insane it s,3
https t co,3
he says isn,3
better known as,3
believe aren t,3
as insane it,3
arguing with a,3
it s like,3
arguing against a,3
aren t there,3
are usually better,3
amused watching a,3
against things they,3
against a god,3
a scientist obsessed,3
a lamp post,3
a god whatever,3
argue against things,3
just amused watching,3
god whatever that,3
you say isn,3
known as insane,3
like arguing with,3
obsessed with arguing,3
post you say,3
people who argue,3
lamp post you,3
argue against things they,4
means to you he,4
aren t there are,4
watching a scientist obsessed,4
are usually better known,4
obsessed with arguing against,4
whatever that term means,4
amused watching a scientist,4
says isn t there,4
who argue against things,4
usually better known as,4
against a god whatever,4
people who argue against,4
with a lamp post,4
a scientist obsessed with,4
with arguing against a,4
a lamp post you,4
say isn t there,4
a god whatever that,4
you he says isn,4
post you say isn,4
against things they believe,4
scientist obsessed with arguing,4
t there people who,4
just amused watching a,4
it s like arguing,4
term means to you,4
isn t there people,4
isn t there https,4
that term means to,4
t there https t,4
insane it s like,4
known as insane it,4
there are usually better,4
https t co gchv9tid7u,4
t there are usually,4
there https t co,4
he says isn t,4
there people who argue,4
god whatever that term,4
s like arguing with,4
better known as insane,4
they believe aren t,4
lamp post you say,4
believe aren t there,4
things they believe aren,4
as insane it s,4
like arguing with a,4
arguing with a lamp,4
to you he says,4
arguing against a god,4
you say isn t,4
