,text
0,"WOW. THIS IS SOOOO DEEP.
In my #WimbartOfficeHours pres I talk about getting to know your target audience - I think I used the term ""stalk"" to describe what you need to do... and @AforAmina_ here is touching my soul by dropping Beyonce 🔥🔥🔥🔥 https://t.co/tPIzYjU5yN"
,text
0,"@wmoreorless @SMeitli @Pattyjanewilson @LilaFox1978 @HillaryClinton @RepAdamSchiff You're so sorry that I won't just roll over and accept everything trump says as gospel and you just slurp up everything he utters as gospel, there's a term for that, i think it's called indoctrinated 

And you call us sheeple https://t.co/rvtegyrOGo"
,text
0,"@StevenBeschloss @BradshawDad The definition of insanity is giving Donald Trump the chance to steal another election. 

The definition of gaslit is believing he’s merely running for a second term.

The definition of injustice is voting him out instead law enforcement escorting him out."
,text
0,"@seanhannity This is funny. They bitch about Trump interfering with State's rights when he offers help. Then they bitch when he don't.
This was a problem before Trump took office, so who is to be blamed for before his term?"
,text
0,"Excellent article again by Ronan McCrea on our extremely generous citizenship laws. Did you know that 9m people in Britain are entitled to Irish citizenship? Given the levels of emigration into the 90’s and again during the crash, this is a long term issue https://t.co/671vwAVvMQ"
,text
0,"Just amused watching a scientist obsessed with arguing against a God (whatever that term means to you) he says isn't there.

People who argue against things they believe aren't there are usually better known as insane.

It's like arguing with a lamp post you say isn't there. 😜😂 https://t.co/gCHV9TId7u"
,text
0,@AAnderdom Vikings isn’t an offensive term and no one died because they were Vikings. There were however people who died for being indigenous. And no fuck them criminal ass cops🤣
