ngram,score,totalwords
annoyed,-0.2956690490245819,1
is,-0.3855276107788086,1
to,-0.5779615640640259,1
know,-0.40941956639289856,1
twitter,-0.8490924239158629,1
m,-0.14465652406215668,1
i,-0.7029122114181519,1
n,-0.34681740403175354,1
not,-0.5969104766845703,1
how,-0.5558388233184814,1
it,0.14456391334533691,1
overwhelmed,-0.4424725770950317,1
overheated,-1.0017414093017578,1
part,-0.4483373165130615,1
so,-0.4455687701702118,1
the,-0.8282995820045471,1
dont,0.2322134226560593,1
working,-0.6553887724876404,1
fix,-0.8303984999656677,1
rachel,-0.9593152403831482,1
bc,-0.4868168830871582,1
