ngrams,total_words
can,1
i,1
wait,1
day,1
to,1
first,1
t,1
demo,1
job,1
super,1
for,1
engineering,1
my,1
excited,1
m,1
i m,2
my first,2
super excited,2
t wait,2
to for,2
wait to,2
m super,2
for my,2
i can,2
for demo,2
can t,2
demo day,2
day i,2
first engineering,2
engineering job,2
excited for,2
excited for demo,3
super excited for,3
demo day i,3
my first engineering,3
for demo day,3
m super excited,3
day i can,3
to for my,3
i m super,3
can t wait,3
i can t,3
wait to for,3
first engineering job,3
for my first,3
t wait to,3
can t wait to,4
to for my first,4
t wait to for,4
for demo day i,4
demo day i can,4
super excited for demo,4
my first engineering job,4
m super excited for,4
excited for demo day,4
i m super excited,4
i can t wait,4
for my first engineering,4
day i can t,4
wait to for my,4
